State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
OGUN,ADO-ODO/OTA,27031004,"FIRST CLASS MODEL SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
IMO,ABOH-MBAISE,16010181,"FIRST CLASS SCHOOLS","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,APAPA,24050082,"FIRST DAMMY COMPREHENSIVE COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
FCT,MUNICIPAL,37062749,"FIRST DAVINE FAVOUR SCIENCE ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
NIGER,BIDA,26030277,"FIRST DEVINE VICTORY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
KANO,KUMBOTSO,19250107,"FIRST DIVINE NEWBREED NURSERY AND PRIMARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
KOGI,YAGBA-EAST,22200041,"FIRST ECWA SECONDARY SCHOOL, ODO-PONYAN","Junior Secondary",PUBLIC,"JSS AND SSS"
OGUN,OBAFEMI-OWODE,27131639,"FIRST FOUNDATION COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,AJEROMI-IFELODUN,24020215,"FIRST FOUNDATION COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
ANAMBRA,IHIALA,4120079,"FIRST FOUNDATION SECONDARY SCHOOL, IHIALA","Junior Secondary",PRIVATE,"JSS AND SSS"
RIVERS,ETCHE,32110451,"FIRST FRUIT CHRISTIAN ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
ONDO,OSE,28170051,"FIRST FRUIT COLLEGE,UGBE-AFO","Junior Secondary",PRIVATE,"JSS AND SSS"
KADUNA,SABON-GARI,18190318,"FIRST GENIUS ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,KANO-MUNICIPAL,19210068,"FIRST GRADE COMPREHENSIVE SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
KOGI,IDAH,22070191,"FIRST GRADE SUCCESS ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
RIVERS,ELEME,32090072,"FIRST GUIDE INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,ETI-OSA,24080066,"FIRST HARVARD ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
ANAMBRA,AGUATA,4010261,"FIRST HILL SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
